iter	Passed	Remaining
534	18665	33666
535	18692	33619
536	18725	33580
537	18757	33541
538	18793	33508
539	18823	33464
540	18852	33418
541	18877	33366
542	18918	33342
543	18950	33301
544	18975	33251
545	19003	33203
546	19030	33154
547	19058	33108
548	19085	33060
549	19109	33007
550	19140	32966
551	19174	32930
552	19205	32888
553	19234	32844
554	19263	32800
555	19294	32759
556	19333	32731
557	19374	32708
558	19408	32671
559	19441	32634
560	19476	32599
561	19502	32551
562	19535	32512
563	19571	32479
564	19597	32432
565	19631	32395
566	19662	32354
567	19687	32304
568	19714	32257
569	19738	32204
570	19769	32164
571	19796	32117
572	19828	32078
573	19854	32029
574	19886	31990
575	19925	31963
576	19957	31925
577	19993	31892
578	20024	31852
579	20058	31817
580	20093	31782
581	20123	31741
582	20154	31701
583	20183	31657
584	20209	31609
585	20240	31569
586	20272	31530
587	20302	31489
588	20334	31451
589	20373	31423
590	20412	31395
591	20447	31362
592	20485	31333
593	20520	31298
594	20546	31251
595	20577	31211
596	20604	31165
597	20629	31116
598	20654	31067
599	20680	31021
600	20707	30974
601	20736	30932
602	20769	30895
603	20808	30868
604	20838	30826
605	20875	30796
606	20903	30753
607	20944	30727
608	20981	30696
609	21026	30677
610	21060	30643
611	21101	30618
612	21135	30582
613	21162	30537
614	21200	30507
615	21227	30462
616	21253	30416
617	21290	30386
618	21316	30338
619	21345	30296
620	21380	30263
621	21424	30242
622	21467	30220
623	21528	30222
624	21587	30223
625	21635	30206
626	21663	30162
627	21693	30122
628	21722	30080
629	21751	30037
630	21786	30003
631	21814	29960
632	21845	29921
633	21872	29876
634	21902	29835
635	21943	29809
636	21986	29786
637	22033	29769
638	22069	29737
639	22111	29712
640	22207	29760
641	22316	29825
642	22359	29801
643	22431	29815
644	22465	29779
645	22499	29744
646	22534	29709
647	22562	29665
648	22592	29623
649	22613	29571
650	22639	29524
651	22675	29491
652	22705	29450
653	22735	29410
654	22769	29374
655	22791	29323
656	22821	29282
657	22847	29236
658	22881	29200
659	22908	29156
660	22940	29117
661	22974	29082
662	22995	29030
663	23030	28996
664	23068	28965
665	23099	28926
666	23134	28892
667	23167	28855
668	23192	28808
669	23214	28758
670	23240	28712
671	23271	28674
672	23301	28633
673	23332	28594
674	23358	28548
675	23390	28511
676	23425	28477
677	23461	28445
678	23497	28411
679	23523	28366
680	23557	28331
681	23590	28295
682	23626	28261
683	23657	28222
684	23687	28183
685	23718	28143
686	23747	28102
687	23777	28063
688	23803	28018
689	23830	27974
690	23860	27934
691	23883	27886
692	23912	27846
693	23948	27812
694	23978	27773
695	24004	27729
696	24028	27683
697	24059	27644
698	24081	27595
699	24106	27550
700	24129	27503
701	24162	27466
702	24193	27428
703	24227	27393
704	24259	27356
705	24286	27313
706	24315	27272
707	24348	27237
708	24381	27201
709	24413	27163
710	24454	27137
711	24492	27106
712	24523	27068
713	24558	27034
714	24582	26989
715	24615	26952
716	24648	26916
717	24677	26877
718	24708	26839
719	24732	26793
720	24765	26757
721	24800	26724
722	24835	26690
723	24871	26657
724	24901	26619
725	24929	26578
726	24978	26558
727	25012	26524
728	25039	26482
729	25072	26446
730	25102	26407
731	25129	26365
732	25158	26325
733	25187	26285
734	25220	26249
735	25255	26215
736	25286	26178
737	25309	26132
738	25338	26092
739	25374	26060
740	25408	26026
741	25457	26006
742	25496	25976
743	25523	25935
744	25553	25896
745	25586	25860
746	25614	25820
747	25642	25779
748	25675	25743
749	25698	25698
750	25728	25659
751	25760	25623
752	25790	25585
753	25824	25550
754	25857	25515
755	25891	25480
756	25912	25433
757	25940	25392
758	25985	25368
759	26011	25327
760	26033	25281
761	26058	25237
762	26080	25191
763	26106	25149
764	26136	25111
765	26162	25069
766	26193	25032
767	26225	24996
768	26256	24958
769	26286	24920
770	26317	24883
771	26348	24846
772	26378	24809
773	26441	24801
774	26493	24783
775	26533	24755
776	26578	24731
